Designator,Mid X,Mid Y,Rotation,Layer
D1,44.525,-104.55,90.0,bottom
D10,239.025,-104.45,90.0,bottom
D11,44.525,-123.6,90.0,bottom
D12,63.575,-123.6,90.0,bottom
D13,82.625,-123.6,90.0,bottom
D14,101.675,-123.6,90.0,bottom
D15,120.725,-123.6,90.0,bottom
D16,162.825,-123.5,90.0,bottom
D17,181.875,-123.5,90.0,bottom
D18,200.925,-123.5,90.0,bottom
D19,219.975,-123.5,90.0,bottom
D2,63.575,-104.55,90.0,bottom
D20,239.025,-123.5,90.0,bottom
D21,44.525,-142.65,90.0,bottom
D22,63.575,-142.65,90.0,bottom
D23,82.625,-142.65,90.0,bottom
D24,101.675,-142.65,90.0,bottom
D25,120.725,-142.65,90.0,bottom
D26,162.825,-142.55,90.0,bottom
D27,181.875,-142.55,90.0,bottom
D28,200.925,-142.55,90.0,bottom
D29,219.975,-142.55,90.0,bottom
D3,82.625,-104.55,90.0,bottom
D30,239.025,-142.55,90.0,bottom
D31,82.625,-161.7,90.0,bottom
D32,101.675,-161.7,90.0,bottom
D33,120.725,-161.7,90.0,bottom
D34,162.825,-161.6,90.0,bottom
D35,181.875,-161.6,90.0,bottom
D36,200.925,-161.6,90.0,bottom
D4,101.675,-104.55,90.0,bottom
D5,120.725,-104.55,90.0,bottom
D6,162.825,-104.45,90.0,bottom
D7,181.875,-104.45,90.0,bottom
D8,200.925,-104.45,90.0,bottom
D9,219.975,-104.45,90.0,bottom
LED1,37.45,-105.55,0.0,bottom
LED10,231.9,-105.55,0.0,bottom
LED11,37.45,-124.6,0.0,bottom
LED12,56.5,-124.6,0.0,bottom
LED13,75.55,-124.6,0.0,bottom
LED14,94.6,-124.6,0.0,bottom
LED15,113.65,-124.6,0.0,bottom
LED16,155.7,-124.6,0.0,bottom
LED17,174.75,-124.6,0.0,bottom
LED18,193.8,-124.6,0.0,bottom
LED19,212.85,-124.6,0.0,bottom
LED2,56.5,-105.55,0.0,bottom
LED20,231.9,-124.6,0.0,bottom
LED21,37.45,-143.65,0.0,bottom
LED22,56.5,-143.65,0.0,bottom
LED23,75.55,-143.65,0.0,bottom
LED24,94.6,-143.65,0.0,bottom
LED25,113.65,-143.65,0.0,bottom
LED26,155.7,-143.65,0.0,bottom
LED27,174.75,-143.65,0.0,bottom
LED28,193.8,-143.65,0.0,bottom
LED29,212.85,-143.65,0.0,bottom
LED3,75.55,-105.55,0.0,bottom
LED30,231.9,-143.65,0.0,bottom
LED31,75.55,-162.7,0.0,bottom
LED32,94.6,-162.7,0.0,bottom
LED33,113.65,-162.7,0.0,bottom
LED34,155.7,-162.7,0.0,bottom
LED35,174.75,-162.7,0.0,bottom
LED36,193.8,-162.7,0.0,bottom
LED4,94.6,-105.55,0.0,bottom
LED5,113.65,-105.55,0.0,bottom
LED6,155.7,-105.55,0.0,bottom
LED7,174.75,-105.55,0.0,bottom
LED8,193.8,-105.55,0.0,bottom
LED9,212.85,-105.55,0.0,bottom
S1,37.4863,-100.45,0.0,bottom
S10,232.035,-100.505,0.0,bottom
S11,37.4863,-119.5,0.0,bottom
S12,56.5363,-119.5,0.0,bottom
S13,75.5863,-119.5,0.0,bottom
S14,94.6363,-119.5,0.0,bottom
S15,113.6863,-119.5,0.0,bottom
S16,155.835,-119.555,0.0,bottom
S17,174.885,-119.555,0.0,bottom
S18,193.935,-119.555,0.0,bottom
S19,212.985,-119.555,0.0,bottom
S2,56.5363,-100.45,0.0,bottom
S20,232.035,-119.555,0.0,bottom
S21,37.4863,-138.55,0.0,bottom
S22,56.5363,-138.55,0.0,bottom
S23,75.5863,-138.55,0.0,bottom
S24,94.6363,-138.55,0.0,bottom
S25,113.6863,-138.55,0.0,bottom
S26,155.835,-138.605,0.0,bottom
S27,174.885,-138.605,0.0,bottom
S28,193.935,-138.605,0.0,bottom
S29,212.985,-138.605,0.0,bottom
S3,75.5863,-100.45,0.0,bottom
S30,232.035,-138.605,0.0,bottom
S31,75.5863,-157.6,0.0,bottom
S32,94.6363,-157.6,0.0,bottom
S33,113.6863,-157.6,0.0,bottom
S34,155.835,-157.655,0.0,bottom
S35,174.885,-157.655,0.0,bottom
S36,193.935,-157.655,0.0,bottom
S4,94.6363,-100.45,0.0,bottom
S5,113.6863,-100.45,0.0,bottom
S6,155.835,-100.505,0.0,bottom
S7,174.885,-100.505,0.0,bottom
S8,193.935,-100.505,0.0,bottom
S9,212.985,-100.505,0.0,bottom
